ID_GRUPO,TITULO
535282,Alien Resurrection
535344,Madagascar (DWA)
535583,Shrek (DWA)
535604,"Godfather, The"
535656,"Black Dahlia, The"
535663,United 93
535693,X-Men
535695,Battleship
535696,Shame
535701,"Wedding Party, The"
535930,Iron Man
536064,"Kings Speech, The"
536284,Santa Paws 2: The Santa Pups
536425,360
536492,Ice Age: Continental Drift
536520,Mary Poppins
536636,"Ghost Writer, The"
536650,Shrek 2 (DWA)
536652,War of the Worlds (2005)
536902,Mean Girls (2004)
536963,Chernobyl Diaries
536981,White Fang 2: Myth of the White Wolf
537020,Brave
537033,George of the Jungle
537038,"Best Exotic Marigold Hotel, The"
537089,King Kong (05)
537101,Boys Dont Cry
537125,Night at the Museum: Battle of the Smithsonian
537127,Biutiful
537594,Lilo & Stitch II: Stitch has a Glitch
537597,Scarface (1983)
537747,Twins
537749,Dantes Peak
537761,"Money Pit, The"
537768,Happy Gilmore
537840,"Unbearable Lightness of Being, The"
537849,"Wrestler, The"
537904,Henry V
537927,Defiance
537930,Back to the Future II
537931,Forrest Gump
537933,Honey (03)
537943,Amadeus
538008,"Spongebob Squarepants Movie, The"
538030,Top Gun
538047,Babe (1995)
538086,Camino
538124,"Bourne Supremacy, The"
538137,Sixteen Candles
538250,"Children of Men, The"
538265,Rear Window
538323,"Aristocats, The"
538340,American Gangster
538380,"Hills Have Eyes, The (2006)"
538480,"Sound of Music, The"
538600,Seabiscuit
538604,Miracle
538611,From Paris with Love
538702,Assault on Precinct 13 (05)
538760,Mamma Mia!
538854,Coraline
538860,Twelve Monkeys
539181,ParaNorman
539183,Jarhead
539186,"Constant Gardener, The"
539234,Taken 2
539235,Adventures of a Teenage Dragonslayer
539563,Facing Ali
539565,Angel-A
539566,I Now Pronounce You Chuck and Larry
539625,Ruby Sparks
539626,Back to the Future III
539642,Savages
539742,Problem Child 2
539747,"Crazies, The"
539761,Funny People
539804,Pride and Prejudice
539816,Revolver (2005)
539922,Rio
540141,Life of Pi
540180,Jaws
540241,White Fang
540268,Xanadu
540269,Beverly Hills Chihuahua
540380,"Libertine, The"
540384,Moonrise Kingdom
540386,Ted
540390,Paranormal Activity 4
540406,Its a Boy Girl Thing
540412,Karaoke - Bruno & Marrone - Ja Nao Sei Mais Nada
540457,Quadrophenia
540473,Then She Found me
540474,Visioneers
540522,"Day of the Jackal, The"
540542,"Proposal, The"
540562,Tooth Fairy
540564,"Emperors New Groove, The"
540567,Confessions of a Teenage Drama Queen
540676,"Last Temptation of Christ, The"
540688,Keep Your Distance
540689,"Land Before Time, The"
540709,Blackout (2008)
540710,"Birds, The"
540716,In Bruges
540858,"Other Boleyn Girl, The"
540945,He Was a Quiet Man
540946,Changeling
541014,Karaoke - Alexis & Fido - Contestame El Teléfono
541043,Karaoke - Elvis Costello - She
541045,Karaoke - Plan B - Si No Le Contesto
541057,How to Train Your Dragon
541060,Karaoke - Ricky Martin - Te Vas
541066,Karaoke - Luz Casal - Un año de amor
541102,Gray matters
541142,Delivering Milo
541330,Karaoke - The Beatles - All You Need Is Love
541343,Karaoke - Juan Magan - Bailando Por Ahí
541344,Karaoke - Joaquín Sabina - Y sin embargo
541484,"Strangers, The"
541540,Frankenweenie
